Name,Address,Price,Size,Distance to beach,Distance to airport,Pool,Car,Non-smoking room,Near beach,WiFi,Family room,Bar,Breakfast
Lupin Center Da Nang Hotel,"171 Đường 3 Tháng 2, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng, Việt Nam",440,26,2.1,3.2,0,1,1,0,1,0,0,0
Beach Hotel by RAON - STAY 24H,"03 An Thuong 32, Ngu Hanh Son, Đà Nẵng, Việt Nam",333,22,0.25,4.3,0,1,0,1,0,1,0,0
Royal Family Hotel,"39 Vo Van Kiet, Đà Nẵng, Việt Nam",400,26,0.15,4.6,1,1,1,1,1,1,1,1
Palmier Hotel - Art House Da Nang,"305 Tran Hung Dao, An Hai Bac, Son Tra, Đà Nẵng, Việt Nam",256,19,1.8,3.4,0,1,1,0,1,1,0,0
Yen Vy Hotel and Apartment,"24 An Thượng 30, Đà Nẵng, Việt Nam",425,25,0.25,4.3,0,1,1,0,1,1,0,0
Menora Premium Da Nang - Sea Corner Boutique,"196 Tran Bach Dang Street, My An Ward, Ngu Hanh Son District, Đà Nẵng, Việt Nam",638,20,0.15,4.4,0,1,1,1,1,1,0,0
IBIZA Danang Riverfront Hotel,"205 Tran Hung Dao, Son Tra, Đà Nẵng, Việt Nam",540,25,1.8,3.5,1,1,1,0,1,1,1,0
Star City Riverside Hotel By Haviland,"147-149 Tran Hung Dao, Nai Hien Dong, Son Tra, Đà Nẵng, Việt Nam",428,27,1.8,3.6,0,0,1,0,1,0,0,0
Sofiana My Khe Hotel & Spa,"54-56 Tran Bach Dang , Đà Nẵng, Việt Nam",557,28,0.1,4.4,1,1,1,0,1,1,0,0
Merry Land Hotel Da Nang,"Lot B20- B21 Pham Van Dong Str,  An Hai Bac Ward, Son Tra District, Đà Nẵng, Việt Nam",472,25,0.95,3.9,1,1,1,1,1,1,1,0
Dreamy Sky - Airport View Boutique Hotel,"Cong san bay quoc te Da Nang, Duong Nguyen Van Linh, Da Nang, Đà Nẵng, Việt Nam",252,15,1.6,0.15,0,0,1,0,1,1,0,0
Duy Tung Hotel Da Nang,"90 Tô Hiến Thành, Đà Nẵng, Việt Nam",407,28,0.45,4.3,0,1,1,1,1,1,0,0
Cọ Xanh Hotel,"303 Trần Hưng Đạo, Đà Nẵng, Việt Nam",295,23,1.8,3.4,0,1,1,0,1,1,0,0
Masion Hotel Đà Nẵng,"12A Phạm Văn Đồng, Đà Nẵng, Việt Nam",415,25,0.35,4.5,0,1,1,1,1,1,0,0
Agena Banti Hotel,"18 Phạm Văn Đồng, Đà Nẵng, Việt Nam",367,22,1.2,3.7,0,0,1,1,1,1,0,0
Thành Hoàng Châu Hotel,"56 Hoang Dieu, Ward Phuoc Ninh, Hai Chau District, Đà Nẵng, Việt Nam",273,30,2.1,1.9,0,1,1,0,1,1,0,1
Yuni Hotel And Apartment,"49 An Thượng 26, Đà Nẵng, Việt Nam",612,20,0.2,4.4,1,1,1,0,1,1,0,0
La Maison Danang Beach Hotel,"12A Pham Van Dong, An Hai Bac, Son Tra, Đà Nẵng, Việt Nam",410,28,0.35,4.5,0,1,1,0,1,1,0,0
Rosetta Beach Hotel & Apartment,"Lot 63 Duong Dinh Nghe, An Cu 2, An Hai Bac Ward, Son Tra District, Đà Nẵng, Việt Nam",454,20,0.45,4.4,0,1,1,1,1,1,0,0
Raon Danang Beach - STAY 24H,"5 An Thuong 32, My An Ward, Ngu Hanh Son District, Đà Nẵng, Việt Nam, Đà Nẵng, Việt Nam",416,24,0.25,4.3,0,1,1,1,1,1,0,0
